doctype,subtype,path,filename,ext
operations and drilling,operations and drilling,\Swallow-1\D00014084\Swallow-1 Re-entry Operations Summary Rev 0.pdf,Swallow-1 Re-entry Operations Summary Rev 0.pdf,pdf
well report,form,\Swallow-1\P00575562\Coogee QC Form.doc,Coogee QC Form.doc,doc
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_R100_145-1210.las,Swallow-1_ LWD_DDS_REC_R100_145-1210.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_R200_160306-170306.las,Swallow-1_ LWD_DDS_REC_R200_160306-170306.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_R300_180306-200306.las,Swallow-1_ LWD_DDS_REC_R300_180306-200306.las,las
operations and drilling,directional survey,\Swallow-1\P00575562\LAS\Swallow-1_Surveys_0-2515m.txt,Swallow-1_Surveys_0-2515m.txt,txt
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_GR-Res_REC_1485-2515m.las,Swallow-1_ LWD_GR-Res_REC_1485-2515m.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_R400_200306-220306.las,Swallow-1_ LWD_DDS_REC_R400_200306-220306.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_GR-Res_REC_145-1210m.las,Swallow-1_ LWD_GR-Res_REC_145-1210m.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_R600_260306-270306.las,Swallow-1_ LWD_DDS_REC_R600_260306-270306.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_R100_070306-090306.las,Swallow-1_ LWD_DDS_REC_R100_070306-090306.las,las
well log,log,\Swallow-1\P00575562\LAS\Swallow-1_ LWD_DDS_REC_1485-2515.las,Swallow-1_ LWD_DDS_REC_1485-2515.las,las
operations and drilling,operations and drilling,\Swallow-1\P00575562\Logs\Swallow-1 EOWL.pdf,Swallow-1 EOWL.pdf,pdf
operations and drilling,operations and drilling,\Swallow-1\P00575562\Logs\Swallow-1_Vib_Depth_EOWL.pdf,Swallow-1_Vib_Depth_EOWL.pdf,pdf
operations and drilling,operations and drilling,\Swallow-1\P00575562\Logs\Swallow-1_Vib_Time_EOWL.pdf,Swallow-1_Vib_Time_EOWL.pdf,pdf
operations and drilling,operations and drilling,\Swallow-1\P00575562\EOWR\Swallow-1_EOWR.pdf,Swallow-1_EOWR.pdf,pdf
operations and drilling,seismic,\Swallow-1\P00577959\Appendix_8_Check_Shot_Log.PDF,Appendix_8_Check_Shot_Log.PDF,PDF
operations and drilling,operations and drilling,\Swallow-1\P00577959\Appendix_7_LWD_EOWR_SperrySun.pdf,Appendix_7_LWD_EOWR_SperrySun.pdf,pdf
well report,well completion report,\Swallow-1\P00577959\Swallow_1_Basic_WCR_Complete.pdf,Swallow_1_Basic_WCR_Complete.pdf,pdf
well report,well position,\Swallow-1\P00577959\Appendix_13_Rig_Positioning_Report.pdf,Appendix_13_Rig_Positioning_Report.pdf,pdf
well report,well test,\Swallow-1\P00577959\Appendix_12_DST_Field_Report.pdf,Appendix_12_DST_Field_Report.pdf,pdf
well report,well test,\Swallow-1\P00577959\Appendix_11_MDT_Data_Sheet.pdf,Appendix_11_MDT_Data_Sheet.pdf,pdf
